nomor_bupot;Masa_Pajak;Kode_objek_pajak;DPP;Pajak_Penghasilan;NPWP_Pemotong;Nama_Pemotong;Tanggal_bupot;tanggal_dokumen
2500M15IE;03-2025;24-104-29;1621622;32432;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;03 Maret 2025;10 Maret 2025
2500MWZ6D;02-2025;24-100-02;650000;13000;0636611071505000;ARTIVERSE APPAREL SEMARANG;06 Februari 2025;28 Februari 2025
2500MWZ84;02-2025;24-100-02;400000;8000;0636611071505000;ARTIVERSE APPAREL SEMARANG;06 Februari 2025;28 Februari 2025
2500WRK9L;02-2025;24-104-65;1150000;23000;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;03 Februari 2025;03 Maret 2025
2500WRLFD;02-2025;24-104-65;4224000;84480;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;12 Februari 2025;12 Februari 2025
2500WRLG2;02-2025;24-104-65;1150000;23000;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;06 Februari 2025;06 Februari 2025
2500YIIX5;02-2025;24-100-02;1616200;32324;0952551711518000;RSJD. DR. AMINO GONDOHUTOMO PROVINSI JAWA TENGAH;19 Februari 2025;20 Maret 2025
2500YPK8O;03-2025;22-910-01;458918919;6883784;0002973816514000;SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN GROBOGAN;07 Maret 2025;21 Maret 2025
2500ZVWOZ;02-2025;22-101-02;40765766;203829;0951879998525000;GRATIS ONGKIR;28 Februari 2025;28 Februari 2025
25012TYHS;03-2025;24-104-29;1585586;31712;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;24 Maret 2025;08 April 2025
25012TYHW;03-2025;24-104-29;180180;3604;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;24 Maret 2025;25 Maret 2025
250160PW8;03-2025;24-104-28;1650000;33000;0017880139063000;SWADHARMA SARANA INFORMATIKA;19 Maret 2025;19 Maret 2025
2501CBDGJ;03-2025;24-100-02;650000;13000;0636611071505000;ARTIVERSE APPAREL SEMARANG;02 Juli 2024;31 Maret 2025
2501CBDGO;03-2025;24-100-02;400000;8000;0636611071505000;ARTIVERSE APPAREL SEMARANG;02 Juli 2024;31 Maret 2025
2501CBDKD;03-2025;24-100-02;650000;13000;0636611071505000;ARTIVERSE APPAREL SEMARANG;04 Maret 2025;31 Maret 2025
2501CBDKH;03-2025;24-100-02;400000;8000;0636611071505000;ARTIVERSE APPAREL SEMARANG;04 Maret 2025;31 Maret 2025
250012HVB;01-2025;22-910-01;3199099;47986;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;22 Januari 2025;16 April 2025
250012HVX;01-2025;22-910-01;4744685;71170;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;22 Januari 2025;16 April 2025
